Bilancio demografico anno 2019 - Novembre (dati provvisori)

Codice Regione,Regioni,Popolazione inizio periodo,Nati Vivi,Morti,Saldo Naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,Totale
1,Piemonte,4347393,2377,4410,-2033,13569,11975,1594,0,4346954,
2,Valle d'Aosta/Vallée d'Aoste,125315,51,109,-58,468,425,43,0,125300,
3,Lombardia,10085021,6268,8130,-1862,33586,28261,5325,0,10088484,
4,Trentino-Alto Adige,1075466,738,743,-5,3152,2917,235,0,1075696,
5,Veneto,4908881,2824,4029,-1205,14496,13159,1337,0,4909013,
6,Friuli-Venezia Giulia,1211468,605,1082,-477,3179,3086,93,0,1211084,
7,Liguria,1544781,806,1737,-931,4258,3393,865,0,1544715,
8,Emilia-Romagna,4468023,2653,4002,-1349,13992,11098,2894,0,4469568,
9,Toscana,3727524,2069,3480,-1411,9867,8959,908,0,3727021,
10,Umbria,878802,496,818,-322,1844,1784,60,0,878540,
11,Marche,1518840,797,1350,-553,4001,3492,509,0,1518796,
12,Lazio,5864321,3530,4736,-1206,13475,12805,670,0,5863785,
13,Abruzzo,1305283,715,1182,-467,3234,3080,154,0,1304970,
14,Molise,302931,162,285,-123,655,749,-94,0,302714,
15,Campania,5774465,3960,4225,-265,11567,13142,-1575,0,5772625,
16,Puglia,4009865,2318,3089,-771,5786,6110,-324,0,4008770,
17,Basilicata,558419,318,488,-170,686,902,-216,0,558033,
18,Calabria,1935414,1145,1571,-426,3295,3973,-678,0,1934310,
19,Sicilia,4969147,3333,4045,-712,8260,9897,-1637,0,4966798,
20,Sardegna,1632047,778,1354,-576,3193,3318,-125,0,1631346,
,TOTALE ITALIA,60243406,35943,50865,-14922,152563,142525,10038,0,60238522,
Codice Regione,Regioni,Popolazione inizio periodo,Nati Vivi,Morti,Saldo Naturale,Iscritti,Cancellati,Saldo migratorio e per  altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,Maschi
1,Piemonte,2112213,1217,2083,-866,6812,6032,780,0,2112127,
2,Valle d'Aosta/Vallée d'Aoste,61242,27,53,-26,234,212,22,0,61238,
3,Lombardia,4939953,3140,3846,-706,17128,14565,2563,0,4941810,
4,Trentino-Alto Adige,529999,379,352,27,1627,1488,139,0,530165,
5,Veneto,2403390,1440,1914,-474,7251,6533,718,0,2403634,
6,Friuli-Venezia Giulia,589085,303,522,-219,1538,1580,-42,0,588824,
7,Liguria,739646,416,812,-396,2170,1737,433,0,739683,
8,Emilia-Romagna,2174775,1336,1893,-557,7083,5625,1458,0,2175676,
9,Toscana,1801054,1057,1638,-581,5013,4560,453,0,1800926,
10,Umbria,423660,243,384,-141,915,912,3,0,423522,
11,Marche,738399,408,647,-239,2018,1755,263,0,738423,
12,Lazio,2831347,1804,2285,-481,7071,6753,318,0,2831184,
13,Abruzzo,637103,371,587,-216,1656,1553,103,0,636990,
14,Molise,149254,80,131,-51,354,424,-70,0,149133,
15,Campania,2814226,2056,2102,-46,6057,6912,-855,0,2813325,
16,Puglia,1950894,1152,1475,-323,3107,3273,-166,0,1950405,
17,Basilicata,274505,165,227,-62,356,475,-119,0,274324,
18,Calabria,950456,601,788,-187,1799,2128,-329,0,949940,
19,Sicilia,2417307,1716,2016,-300,4314,5207,-893,0,2416114,
20,Sardegna,801881,422,715,-293,1615,1690,-75,0,801513,
,TOTALE MASCHI,29340389,18333,24470,-6137,78118,73414,4704,0,29338956,
Codice Regione,Regioni,Popolazione inizio periodo,Nati Vivi,Morti,Saldo Naturale,Iscritti,Cancellati,Saldo migratorio e per  altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,Femmine
1,Piemonte,2235180,1160,2327,-1167,6757,5943,814,0,2234827,
2,Valle d'Aosta/Vallée d'Aoste,64073,24,56,-32,234,213,21,0,64062,
3,Lombardia,5145068,3128,4284,-1156,16458,13696,2762,0,5146674,
4,Trentino-Alto Adige,545467,359,391,-32,1525,1429,96,0,545531,
5,Veneto,2505491,1384,2115,-731,7245,6626,619,0,2505379,
6,Friuli-Venezia Giulia,622383,302,560,-258,1641,1506,135,0,622260,
7,Liguria,805135,390,925,-535,2088,1656,432,0,805032,
8,Emilia-Romagna,2293248,1317,2109,-792,6909,5473,1436,0,2293892,
9,Toscana,1926470,1012,1842,-830,4854,4399,455,0,1926095,
10,Umbria,455142,253,434,-181,929,872,57,0,455018,
11,Marche,780441,389,703,-314,1983,1737,246,0,780373,
12,Lazio,3032974,1726,2451,-725,6404,6052,352,0,3032601,
13,Abruzzo,668180,344,595,-251,1578,1527,51,0,667980,
14,Molise,153677,82,154,-72,301,325,-24,0,153581,
15,Campania,2960239,1904,2123,-219,5510,6230,-720,0,2959300,
16,Puglia,2058971,1166,1614,-448,2679,2837,-158,0,2058365,
17,Basilicata,283914,153,261,-108,330,427,-97,0,283709,
18,Calabria,984958,544,783,-239,1496,1845,-349,0,984370,
19,Sicilia,2551840,1617,2029,-412,3946,4690,-744,0,2550684,
20,Sardegna,830166,356,639,-283,1578,1628,-50,0,829833,
,TOTALE FEMMINE,30903017,17610,26395,-8785,74445,69111,5334,0,30899566

Informazioni: S = dato stimato
